MATRIZ COMPARATIVA DE PRESUPUESTOS Y ESPECIFICACIONES - RESPALDO ELÉCTRICO,,,,,,,,,
,,,,,,,,,
Modelos de 1KW,,,,,,,,,
,,Paralelismo: NO,Dimenciones (cm) ,42 x 31.5 x 11,,,,,
,,, peso (Kg),6.2,,,,,
,,,Certifiaciones / Grado de proteccion,NO espeficiada / protección IP21,,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
Modelos de 4 KW,,,,,,,,,
,Datasheet-MultiPlus-II-120Va-ES.pdf,Marca:  Victron Energy,Tipo de Componente,inversor/cargador híbrido y multifuncional                                                         (Requiere MPPT externo para paneles)  ,Precio (USD),,,,
,,,Voltaje de Salida AC,120V,,,,,
,,,Maxima corriente de  Carga (Red),70A,,,,,
,,,Garantía de fábrica,5 años                                                                     (Consultar con el vendedor),"$1,284.42",,,,
,,,Voltaje de Banco DC necesario,48V,,,,,
,,"Capacidad:  5KVA (5000 VA) - (Equivale a 4KW o 4000W por su factor de potencia 0,8)",Tipo de Fase,Monofásico (Single-Phase),,,,,
,Link de instagram,,Potencia Pico,"
9 kW (9000W) / 9 KVA",,,,,
,,,Tiempo de Transferencia,< 20 ms,,,,,
,,"Paralelismo: SI, Hatas 6 unidades (Consultar con el Vendor)",Dimenciones (cm) ,56.5 x 32.3 x 14.9,,,,,
,,, peso (Kg),30,,,,,
,,,Certifiaciones / Grado de proteccion,"CE, EN60335, Grado de protección IP22.",,,,,
,,,Eficiencia,96% de eficiencia máxima.,,,,,
,,,,,,,,,
Modelos de 5 KW,,,,,,,,,
,,Marca:  SRNE,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,"120V
",,,,,
,,,Maxima corriente de  Carga (Red),60A,,,,,
,,,Garantía de fábrica,2 años                                                                (Consultar con el vendedor),"$1,022.20",,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  5 kW (5000W),Tipo de Fase,Monofásico (Single-Phase),,,,,
,Link de instagram,,Potencia Pico,"
10 kW (10000W)
",,,,,
,,,Tiempo de Transferencia,10 ms (modo UPS) / 20 ms (modo APL),,,,,
,,"Paralelismo: SÍ, permite conectar hasta 6 unidades en paralelo.",Dimenciones (cm) ,"42.6 x 32.2 x 12.6
",,,,,
,,, peso (Kg),10.9,,,,,
,,,Certifiaciones / Grado de proteccion,"CE, Grado de protección IP20.",,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
,inversorAmiba5kw.pdf,Marca:  AMIBA,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC," 120 VAC ± 5%
",,,,,
,,,Maxima corriente de  Carga (Red),50A,,,,,
,,,Garantía de fábrica,10 años,$400.00,,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  5 kW (5000W),Tipo de Fase,Monofásico (Single-Phase),,,,,
,Link de instagram,,Potencia Pico,"
7 kW
",,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,Paralelismo: NO,Dimenciones (cm) ,"30 × 10.5 × 36.3
",,,,,
,,, peso (Kg),8.4,,,,,
,,,Certifiaciones / Grado de proteccion,normativa internacional IEC62040 / protección IP21,,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
Modelos de  6 KW,,,,,,,,,
,inversorAmiba5kw.pdf,Marca: RARLON,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,220 / 230 / 240 VAC,,,,,
,,,Maxima corriente de  Carga (Red),120A,,,,,
,,,Garantía de fábrica,2 años,---,,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  6 kW (6000W),Tipo de Fase,Monofásico (Single-Phase),,,,,
,,,Potencia Pico,"
12 kVA
",,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,"Paralelismo: SÍ, soporta hasta 9 unidades en paralelo",Dimenciones (cm) ,48 x 35.5 x 12,,,,,
,,, peso (Kg),8.4,,,,,
,,,Certifiaciones / Grado de proteccion,NO espeficiada / protección IP21,,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
,SRNE_6KW.pdf,Marca:  SRNE,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,120 / 240 VAC (Split-Phase),,,,,
,,,Maxima corriente de  Carga (Red),"40A ~ 60A (puede ser mayor, consultar con el vendedor)",,,,,
,,,Garantía de fábrica,2 años,"$1,374.00",,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  6.5 kW (6500W),Tipo de Fase,Fase partida / Bifásico ( Split-Phase),,,,,
,Link de instagram,,Potencia Pico,13 kW (13000W),,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,"Paralelismo: SÍ, soporta hasta 6 unidades en paralelo",Dimenciones (cm) ,50.0 x38.0 x 13.0,,,,,
,,, peso (Kg),15.5,,,,,
,,,Certifiaciones / Grado de proteccion,Cuenta con certificaciones CE y cumplimientos normativos para mercados americanos (diseño basado en estándares UL1741) / protección IP20 (Uso estricto en interiores),,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
,inversorAmiba6.2kw.jpeg.pdf,Marca:  AMIBA,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,115/230 VAC ± 5%,,,,,
,,,Maxima corriente de  Carga (Red),65A,,,,,
,,,Garantía de fábrica,10 años,$480.00,,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad: 6.2 kW (6200W),Tipo de Fase,Fase partida / Bifásico ( Split-Phase),,,,,
,Link de instagram,,Potencia Pico,8.8 kW (8800W),,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,Paralelismo: NO,Dimenciones (cm) ,30 × 10.5 × 37.3,,,,,
,,, peso (Kg),10,,,,,
,,,Certifiaciones / Grado de proteccion,normativa internacional IEC62040 / protección IP21,,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
Modelos de 10 KW,,,,,,,,,
,InversorAmiba10.2kw.pdf,Marca:  AMIBA,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,115/230 VAC ± 5%,,,,,
,,,Maxima corriente de  Carga (Red),100 A,,,,,
,,,Garantía de fábrica,10 años,$800.00,,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  10.2 kW (10200W),Tipo de Fase,Fase partida / Bifásico ( Split-Phase),,,,,
,Link de instagram,,Potencia Pico,14 kW (14000W),,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,Paralelismo: NO,Dimenciones (cm) ,36 × 120 × 50,,,,,
,,, peso (Kg),14.5,,,,,
,,,Certifiaciones / Grado de proteccion,normativa internacional IEC62040 / protección IP21,,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
Modelos de 12 KW,,,,,,,,,
,InversorAmiba10.2kw.pdf,Marca:  AMIBA,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,115/230 VAC ± 5%,,,,,
,,,Maxima corriente de  Carga (Red),100 A,,,,,
,,,Garantía de fábrica,10 años,$890.00,,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  12 kW (12000W),Tipo de Fase,Fase partida / Bifásico ( Split-Phase),,,,,
,Link de instagram,,Potencia Pico,15 kW (15000W),,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,Paralelismo: NO,Dimenciones (cm) ,36 × 120 × 50,,,,,
,,, peso (Kg),14.5,,,,,
,,,Certifiaciones / Grado de proteccion,normativa internacional IEC62040 / protección IP21,,,,,
,,,Eficiencia,,,,,,
,,,,,,,,,
,XINXIN ENERGY.pdf,Marca:  RARLON,Tipo de Componente,Inversor hibrído (Off Grid),Precio (USD),,,,
,,,Voltaje de Salida AC,220 / 230 / 240 VAC,,,,,
,,,Maxima corriente de  Carga (Red),160A,,,,,
,,,Garantía de fábrica,2 años,---,,,,
,,,Voltaje de Banco DC necesario,48 V,,,,,
,,Capacidad:  12 kW (12000W),Tipo de Fase,Monofásico (Single-Phase),,,,,
,,,Potencia Pico,24 kVA,,,,,
,,,Tiempo de Transferencia,10ms,,,,,
,,"Paralelismo: SI, pero no se especifica la cantidad",Dimenciones (cm) ,52 x 41.5 x 14,,,,,
,,, peso (Kg),15,,,,,
,,,Certifiaciones / Grado de proteccion,NO espeficiada / protección IP21,,,,,
,,,Eficiencia,,,,,,
